Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;1435;24.4;48.8;OK
delegado 1: ;167;48.8;48.8;OK
delegado 2: ;233;48.8;48.8;OK
delegado 3: ;212;48.8;5.9;OK
delegado 4: ;149;5.9;5.9;OK
delegado 5: ;126;5.9;5.9;OK
delegado 6: ;148;5.9;5.2;OK
delegado 7: ;227;5.2;5.2;OK
delegado 8: ;112;5.2;5.2;OK
delegado 9: ;189;5.2;6.7;OK
delegado 10: ;139;6.7;6.7;OK
delegado 11: ;176;6.7;6.7;OK
delegado 12: ;142;6.7;4.8;OK
delegado 13: ;190;4.8;4.8;OK
delegado 14: ;179;4.8;4.8;OK
delegado 15: ;181;4.8;4.8;OK
delegado 16: ;158;4.8;4.8;OK
delegado 17: ;210;4.8;4.8;OK
delegado 18: ;150;4.8;5.6;OK
delegado 19: ;225;5.6;5.6;OK
delegado 20: ;130;5.6;5.6;OK
delegado 21: ;157;5.6;3.7;OK
delegado 22: ;226;3.7;3.7;OK
delegado 23: ;190;3.7;3.7;OK
delegado 24: ;140;3.8;3.8;OK
delegado 25: ;154;3.8;3.8;OK
delegado 26: ;225;3.8;4.5;OK
delegado 27: ;138;4.5;4.5;OK
delegado 28: ;190;4.5;4.5;OK
delegado 29: ;152;4.5;4.0;OK
delegado 30: ;159;4.0;4.0;OK
delegado 31: ;159;4.0;4.0;OK
delegado 32: ;179;4.0;3.3;OK
delegado 33: ;153;3.3;3.3;OK
delegado 34: ;142;3.3;3.3;OK
delegado 35: ;222;3.3;3.8;OK
delegado 36: ;175;3.8;1.3;OK
delegado 37: ;174;1.3;1.9;OK
delegado 38: ;139;1.9;1.9;OK
delegado 39: ;149;1.9;1.9;OK
delegado 40: ;161;1.9;5.7;OK
delegado 41: ;171;5.7;5.7;OK
delegado 42: ;213;5.7;5.7;OK
delegado 43: ;148;5.7;3.1;OK
delegado 44: ;201;3.1;3.1;OK
delegado 45: ;413;3.1;1.1;OK
