Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 1: ;1409;0.0;37.4;OK
delegado 0: ;1410;0.0;37.4;OK
delegado 3: ;248;37.4;37.4;OK
delegado 2: ;294;37.4;37.4;OK
delegado 4: ;165;37.4;10.2;OK
delegado 5: ;154;37.4;10.2;OK
delegado 6: ;201;10.2;10.2;OK
delegado 7: ;167;10.2;10.2;OK
delegado 9: ;165;10.2;10.2;OK
delegado 8: ;218;10.2;8.4;OK
delegado 11: ;155;8.4;8.4;OK
delegado 10: ;236;10.2;8.4;OK
delegado 13: ;142;8.4;8.4;OK
delegado 12: ;208;8.4;8.4;OK
delegado 14: ;312;8.4;8.4;OK
delegado 15: ;476;8.4;8.4;OK
delegado 16: ;271;8.4;8.4;OK
delegado 17: ;132;8.4;8.4;OK
delegado 18: ;136;8.4;8.4;OK
delegado 19: ;133;8.4;10.8;OK
delegado 20: ;134;8.4;10.8;OK
delegado 21: ;171;10.8;10.8;OK
delegado 22: ;210;10.8;10.8;OK
delegado 23: ;146;10.8;10.8;OK
delegado 24: ;139;10.8;13.1;OK
delegado 25: ;130;10.8;13.1;OK
delegado 26: ;153;13.1;13.1;OK
delegado 27: ;124;13.1;13.1;OK
delegado 29: ;201;13.1;13.1;OK
delegado 28: ;218;13.1;13.1;OK
delegado 31: ;135;13.1;11.5;OK
delegado 30: ;144;13.1;11.5;OK
delegado 33: ;120;11.5;11.5;OK
delegado 32: ;136;11.5;11.5;OK
delegado 35: ;115;11.5;11.5;OK
delegado 34: ;168;11.5;11.5;OK
delegado 36: ;150;11.5;9.9;OK
delegado 37: ;127;11.5;9.9;OK
delegado 39: ;141;9.9;9.9;OK
delegado 38: ;206;9.9;9.9;OK
delegado 40: ;128;9.9;9.9;OK
delegado 41: ;150;9.9;9.9;OK
delegado 42: ;123;9.9;9.9;OK
delegado 43: ;133;9.9;11.3;OK
delegado 44: ;162;11.3;11.3;OK
delegado 45: ;160;11.3;11.3;OK
delegado 46: ;138;11.3;11.3;OK
delegado 47: ;139;11.3;11.3;OK
delegado 48: ;113;11.3;10.0;OK
delegado 49: ;142;11.3;10.0;OK
delegado 50: ;124;10.0;10.0;OK
delegado 51: ;129;10.0;10.0;OK
delegado 52: ;145;10.0;10.0;OK
delegado 53: ;149;10.0;10.0;OK
delegado 54: ;166;10.0;10.9;OK
delegado 55: ;141;10.0;10.9;OK
delegado 56: ;181;10.9;10.9;OK
delegado 57: ;142;10.9;10.9;OK
delegado 58: ;127;10.9;10.9;OK
delegado 59: ;118;10.9;10.9;OK
delegado 60: ;135;10.9;8.5;OK
delegado 61: ;161;10.9;8.5;OK
delegado 63: ;147;8.5;8.5;OK
delegado 62: ;236;8.5;8.5;OK
delegado 65: ;164;8.5;8.5;OK
delegado 64: ;190;8.5;8.5;OK
delegado 66: ;157;8.5;9.3;OK
delegado 67: ;173;8.5;9.3;OK
delegado 68: ;145;9.3;9.3;OK
delegado 69: ;181;9.3;9.3;OK
delegado 70: ;178;9.3;9.3;OK
delegado 71: ;126;9.3;9.3;OK
delegado 73: ;118;9.3;8.9;OK
delegado 72: ;129;9.3;8.9;OK
delegado 75: ;128;8.9;8.9;OK
delegado 74: ;171;8.9;8.9;OK
delegado 76: ;149;8.9;8.9;OK
delegado 77: ;178;8.9;8.9;OK
delegado 78: ;164;8.9;9.5;OK
delegado 79: ;151;8.9;9.5;OK
delegado 80: ;179;9.5;9.5;OK
delegado 81: ;160;9.5;9.5;OK
delegado 82: ;119;9.5;9.5;OK
delegado 83: ;126;9.5;9.5;OK
delegado 85: ;113;9.5;14.0;OK
delegado 84: ;130;9.5;14.0;OK
delegado 86: ;125;14.0;14.0;OK
delegado 87: ;204;14.0;14.0;OK
delegado 89: ;127;14.0;14.0;OK
delegado 88: ;198;14.0;14.0;OK
delegado 90: ;119;14.0;7.5;OK
delegado 91: ;162;14.0;7.5;OK
delegado 93: ;133;7.5;7.5;OK
delegado 92: ;196;7.5;7.5;OK
delegado 94: ;170;7.5;7.5;OK
delegado 95: ;185;7.5;7.5;OK
delegado 97: ;142;7.5;6.2;OK
delegado 96: ;172;7.5;6.2;OK
delegado 98: ;132;6.2;6.2;OK
delegado 99: ;173;6.2;6.2;OK
delegado 100: ;212;6.2;6.2;OK
delegado 101: ;202;6.2;6.2;OK
delegado 102: ;141;6.2;6.8;OK
delegado 103: ;127;6.2;6.8;OK
delegado 104: ;136;6.8;6.8;OK
delegado 105: ;135;6.8;6.8;OK
delegado 106: ;143;6.8;6.8;OK
delegado 107: ;190;6.8;6.8;OK
delegado 108: ;159;6.8;5.4;OK
delegado 109: ;201;6.8;5.4;OK
delegado 110: ;117;5.4;5.4;OK
delegado 111: ;135;5.4;5.4;OK
delegado 112: ;150;5.4;5.4;OK
delegado 113: ;130;5.4;5.4;OK
delegado 114: ;171;5.4;8.1;OK
delegado 115: ;159;5.4;8.1;OK
delegado 116: ;145;8.1;8.1;OK
delegado 117: ;124;8.1;8.1;OK
delegado 118: ;183;8.1;8.1;OK
delegado 119: ;136;8.1;8.1;OK
delegado 121: ;112;8.1;9.6;OK
delegado 120: ;112;8.1;9.6;OK
delegado 123: ;132;9.6;9.6;OK
delegado 122: ;134;9.6;9.6;OK
delegado 124: ;130;9.6;9.6;OK
delegado 125: ;184;9.6;9.6;OK
delegado 126: ;147;9.6;11.6;OK
delegado 127: ;144;9.6;11.6;OK
delegado 128: ;105;11.6;11.6;OK
delegado 129: ;144;11.6;11.6;OK
delegado 130: ;116;11.6;11.6;OK
delegado 131: ;144;11.6;11.6;OK
delegado 132: ;161;11.6;11.6;OK
delegado 133: ;176;11.6;7.7;OK
delegado 134: ;115;11.6;7.7;OK
