Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;1967;26.0;33.1;OK
delegado 1: ;171;33.1;33.1;OK
delegado 2: ;273;33.1;3.8;OK
delegado 3: ;289;3.8;3.8;OK
delegado 4: ;164;3.8;3.7;OK
delegado 5: ;176;3.7;3.7;OK
delegado 6: ;208;3.7;3.7;OK
delegado 7: ;258;3.7;4.2;OK
delegado 8: ;215;4.2;4.2;OK
delegado 9: ;212;4.2;4.2;OK
delegado 10: ;275;8.3;8.3;OK
delegado 11: ;259;8.3;2.7;OK
delegado 12: ;242;2.7;2.7;OK
delegado 13: ;199;2.7;4.3;OK
delegado 14: ;283;4.3;4.3;OK
delegado 15: ;182;4.3;8.8;OK
delegado 16: ;199;8.8;8.8;OK
delegado 17: ;270;8.8;5.9;OK
delegado 18: ;234;5.9;5.9;OK
delegado 19: ;216;5.9;6.1;OK
delegado 20: ;198;6.1;6.1;OK
delegado 21: ;263;6.1;3.6;OK
delegado 22: ;195;3.6;3.6;OK
delegado 23: ;227;3.6;3.6;OK
delegado 24: ;155;6.8;6.8;OK
delegado 25: ;192;6.8;6.8;OK
delegado 26: ;197;6.8;3.1;OK
delegado 27: ;161;3.1;3.1;OK
delegado 28: ;164;3.1;3.1;OK
delegado 29: ;251;3.1;2.9;OK
delegado 30: ;164;2.9;2.9;OK
delegado 31: ;183;2.9;2.9;OK
delegado 32: ;184;2.9;2.5;OK
delegado 33: ;231;2.5;2.5;OK
delegado 34: ;215;2.5;3.0;OK
delegado 35: ;158;3.0;3.0;OK
delegado 36: ;194;3.0;3.0;OK
delegado 37: ;187;3.0;5.0;OK
delegado 38: ;158;5.0;5.0;OK
delegado 39: ;277;5.0;5.0;OK
delegado 40: ;218;5.9;5.9;OK
delegado 41: ;217;5.9;5.9;OK
delegado 42: ;210;5.9;4.3;OK
delegado 43: ;242;4.3;4.3;OK
delegado 44: ;168;4.3;4.3;OK
delegado 45: ;168;5.3;5.3;OK
delegado 46: ;162;5.3;5.3;OK
delegado 47: ;275;5.3;1.7;OK
delegado 48: ;1238;1.7;0.5;OK
delegado 49: ;891;0.5;0.8;OK
delegado 50: ;535;0.8;1.3;OK
delegado 51: ;155;1.3;1.3;OK
delegado 52: ;168;1.3;1.3;OK
delegado 53: ;242;1.3;6.0;OK
delegado 54: ;269;6.0;6.0;OK
delegado 55: ;174;6.0;4.6;OK
delegado 56: ;209;4.6;4.6;OK
delegado 57: ;191;4.6;4.6;OK
delegado 58: ;162;4.6;4.7;OK
delegado 59: ;154;4.7;4.7;OK
delegado 60: ;213;4.7;4.7;OK
delegado 61: ;209;4.7;4.7;OK
delegado 62: ;144;4.7;4.7;OK
delegado 63: ;253;4.7;4.7;OK
delegado 64: ;149;4.7;3.7;OK
delegado 65: ;267;3.7;3.7;OK
delegado 66: ;234;3.7;2.0;OK
delegado 67: ;168;2.0;2.0;OK
delegado 68: ;190;2.0;2.0;OK
delegado 69: ;200;2.0;3.5;OK
delegado 70: ;226;3.5;3.5;OK
delegado 71: ;187;3.5;3.5;OK
delegado 72: ;205;3.5;3.3;OK
delegado 73: ;191;3.3;3.3;OK
delegado 74: ;184;3.3;3.3;OK
delegado 75: ;266;3.3;5.3;OK
delegado 76: ;196;5.3;5.3;OK
delegado 77: ;192;5.3;5.3;OK
delegado 78: ;179;5.3;5.3;OK
delegado 79: ;192;5.3;5.3;OK
delegado 80: ;160;5.3;5.3;OK
delegado 81: ;182;5.3;3.7;OK
delegado 82: ;197;3.7;3.7;OK
delegado 83: ;240;3.7;2.3;OK
delegado 84: ;159;2.3;2.3;OK
delegado 85: ;270;2.3;2.3;OK
delegado 86: ;175;3.8;3.8;OK
delegado 87: ;178;3.8;3.8;OK
delegado 88: ;207;3.8;3.7;OK
delegado 89: ;225;3.7;3.7;OK
delegado 90: ;184;3.7;3.7;OK
delegado 91: ;197;3.7;4.5;OK
delegado 92: ;208;4.5;4.5;OK
delegado 93: ;212;4.5;4.5;OK
delegado 94: ;227;4.6;4.6;OK
delegado 95: ;254;4.6;2.2;OK
delegado 96: ;196;2.2;2.2;OK
delegado 97: ;275;2.2;4.3;OK
delegado 98: ;215;4.3;4.3;OK
delegado 99: ;296;4.3;5.5;OK
delegado 100: ;267;5.5;5.5;OK
delegado 101: ;177;5.5;3.8;OK
delegado 102: ;198;3.8;3.8;OK
delegado 103: ;201;3.8;3.8;OK
delegado 104: ;156;3.8;4.2;OK
delegado 105: ;173;4.2;4.2;OK
delegado 106: ;190;4.2;4.2;OK
delegado 107: ;155;4.2;8.3;OK
delegado 108: ;192;8.3;8.3;OK
delegado 109: ;182;8.3;8.3;OK
delegado 110: ;254;8.3;2.7;OK
delegado 111: ;151;2.7;2.7;OK
delegado 112: ;145;2.7;2.7;OK
delegado 113: ;180;2.7;7.6;OK
delegado 114: ;159;7.6;7.6;OK
delegado 115: ;176;7.6;7.6;OK
delegado 116: ;187;7.6;1.9;OK
delegado 117: ;332;1.9;1.9;OK
delegado 118: ;175;1.9;2.0;OK
delegado 119: ;251;2.0;2.0;OK
delegado 120: ;175;2.0;2.0;OK
delegado 121: ;174;3.1;3.1;OK
delegado 122: ;226;3.1;3.1;OK
delegado 123: ;240;3.1;2.7;OK
delegado 124: ;172;2.7;2.7;OK
delegado 125: ;168;2.7;2.7;OK
delegado 126: ;173;2.7;2.5;OK
delegado 127: ;263;2.5;2.5;OK
delegado 128: ;167;2.5;2.5;OK
delegado 129: ;256;8.3;8.3;OK
delegado 130: ;174;8.3;8.3;OK
delegado 131: ;182;8.3;3.4;OK
delegado 132: ;190;3.4;3.4;OK
delegado 133: ;153;3.4;3.4;OK
delegado 134: ;174;3.4;5.1;OK
delegado 135: ;171;5.1;5.1;OK
delegado 136: ;183;5.1;5.1;OK
delegado 137: ;173;5.1;4.4;OK
delegado 138: ;230;4.4;4.4;OK
delegado 139: ;306;4.4;1.9;OK
delegado 140: ;191;1.9;1.9;OK
delegado 141: ;178;1.9;1.9;OK
delegado 142: ;254;1.9;2.2;OK
delegado 143: ;212;2.2;2.2;OK
delegado 144: ;246;2.2;3.0;OK
delegado 145: ;223;3.0;3.0;OK
delegado 146: ;185;3.0;3.0;OK
delegado 147: ;157;3.0;2.9;OK
delegado 148: ;197;2.9;2.9;OK
delegado 149: ;188;2.9;2.9;OK
delegado 150: ;220;2.9;5.6;OK
delegado 151: ;181;5.6;5.6;OK
delegado 152: ;227;5.6;5.6;OK
delegado 153: ;184;5.6;3.4;OK
delegado 154: ;228;3.4;3.4;OK
delegado 155: ;200;3.4;3.4;OK
delegado 156: ;188;3.8;3.8;OK
delegado 157: ;245;3.8;3.8;OK
delegado 158: ;213;3.8;1.6;OK
delegado 159: ;191;1.6;1.6;OK
delegado 160: ;196;1.6;1.6;OK
delegado 161: ;158;1.6;5.4;OK
delegado 162: ;194;5.4;5.4;OK
delegado 163: ;128;5.4;5.4;OK
delegado 164: ;195;5.4;5.0;OK
delegado 165: ;226;5.0;5.0;OK
delegado 166: ;202;5.0;5.0;OK
delegado 167: ;187;3.8;3.8;OK
delegado 168: ;260;3.8;3.8;OK
delegado 169: ;198;2.3;2.3;OK
delegado 170: ;156;2.3;2.3;OK
delegado 171: ;187;2.3;3.1;OK
delegado 172: ;157;3.1;3.1;OK
delegado 173: ;206;3.1;3.1;OK
delegado 174: ;196;3.1;2.9;OK
delegado 175: ;174;2.9;2.9;OK
delegado 176: ;217;2.9;2.9;OK
delegado 177: ;211;2.9;4.5;OK
delegado 178: ;165;4.5;4.5;OK
delegado 179: ;295;4.5;2.2;OK
delegado 180: ;232;2.2;2.2;OK
delegado 181: ;182;2.2;2.2;OK
delegado 182: ;208;2.2;3.8;OK
delegado 183: ;168;3.8;3.8;OK
delegado 184: ;185;3.8;3.8;OK
delegado 185: ;182;3.8;3.7;OK
delegado 186: ;167;3.7;3.7;OK
delegado 187: ;181;3.7;3.7;OK
delegado 188: ;205;3.7;2.4;OK
delegado 189: ;186;2.4;2.4;OK
delegado 190: ;188;2.4;2.4;OK
delegado 191: ;211;2.4;5.2;OK
delegado 192: ;242;5.2;5.2;OK
delegado 193: ;253;5.2;4.2;OK
delegado 194: ;218;4.2;4.2;OK
delegado 195: ;225;4.2;1.5;OK
delegado 196: ;193;1.5;1.5;OK
delegado 197: ;167;1.5;1.5;OK
delegado 198: ;185;1.5;4.8;OK
delegado 199: ;176;4.8;4.8;OK
Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;2001;27.9;35.6;OK
delegado 1: ;230;35.6;35.6;OK
delegado 2: ;220;35.6;11.3;OK
delegado 3: ;208;11.3;11.3;OK
delegado 4: ;146;11.3;11.3;OK
delegado 5: ;146;11.3;5.1;OK
delegado 6: ;231;5.1;5.1;OK
delegado 7: ;255;5.1;3.5;OK
delegado 8: ;494;3.5;1.4;OK
delegado 9: ;423;1.4;1.4;OK
delegado 10: ;602;1.4;3.2;OK
delegado 11: ;580;3.2;1.7;OK
delegado 12: ;203;1.7;1.7;OK
delegado 13: ;386;1.7;2.9;OK
delegado 14: ;463;2.9;1.0;OK
delegado 15: ;259;1.0;1.0;OK
delegado 16: ;185;1.0;2.9;OK
delegado 17: ;180;2.9;2.9;OK
delegado 18: ;218;2.9;2.9;OK
delegado 19: ;237;2.9;3.7;OK
delegado 20: ;206;3.7;3.7;OK
delegado 21: ;206;3.7;3.7;OK
delegado 22: ;198;3.7;3.8;OK
delegado 23: ;231;3.8;3.8;OK
delegado 24: ;218;3.8;4.5;OK
delegado 25: ;172;4.5;4.5;OK
delegado 26: ;190;4.5;4.5;OK
delegado 27: ;280;4.5;2.6;OK
delegado 28: ;201;2.6;2.6;OK
delegado 29: ;193;2.6;2.6;OK
delegado 30: ;194;2.6;2.3;OK
delegado 31: ;245;2.3;2.3;OK
delegado 32: ;316;2.3;2.4;OK
delegado 33: ;213;2.4;2.4;OK
delegado 34: ;214;2.4;2.4;OK
delegado 35: ;268;6.1;6.1;OK
delegado 36: ;195;6.1;4.6;OK
delegado 37: ;220;4.6;4.6;OK
delegado 38: ;215;4.6;4.6;OK
delegado 39: ;231;3.8;3.8;OK
delegado 40: ;194;3.8;3.8;OK
delegado 41: ;215;3.8;4.4;OK
delegado 42: ;162;4.4;4.4;OK
delegado 43: ;188;4.4;4.4;OK
delegado 44: ;213;4.4;4.1;OK
delegado 45: ;242;4.1;4.1;OK
delegado 46: ;254;4.1;3.5;OK
delegado 47: ;178;3.5;3.5;OK
delegado 48: ;187;3.5;3.5;OK
delegado 49: ;216;3.5;2.3;OK
delegado 50: ;192;2.3;2.3;OK
delegado 51: ;239;2.3;2.3;OK
delegado 52: ;193;5.2;5.2;OK
delegado 53: ;305;5.2;5.7;OK
delegado 54: ;211;5.7;5.7;OK
delegado 55: ;268;5.7;6.3;OK
delegado 56: ;148;6.3;6.3;OK
delegado 57: ;217;6.3;6.3;OK
delegado 58: ;284;6.3;5.2;OK
delegado 59: ;147;5.2;5.2;OK
delegado 60: ;184;5.2;5.2;OK
delegado 61: ;176;5.2;6.4;OK
delegado 62: ;178;6.4;6.4;OK
delegado 63: ;231;6.4;6.4;OK
delegado 64: ;201;6.4;5.0;OK
delegado 65: ;193;5.0;5.0;OK
delegado 66: ;191;5.0;5.0;OK
delegado 67: ;177;5.0;3.0;OK
delegado 68: ;222;3.0;3.0;OK
delegado 69: ;178;3.0;3.0;OK
delegado 70: ;200;3.0;2.8;OK
delegado 71: ;200;2.8;2.8;OK
delegado 72: ;231;2.8;2.8;OK
delegado 73: ;257;3.7;3.7;OK
delegado 74: ;206;3.7;4.5;OK
delegado 75: ;207;4.5;4.5;OK
delegado 76: ;201;4.5;4.5;OK
delegado 77: ;215;4.5;5.4;OK
delegado 78: ;180;5.4;5.4;OK
delegado 79: ;220;5.4;5.4;OK
delegado 80: ;159;5.4;4.7;OK
delegado 81: ;207;4.7;4.7;OK
delegado 82: ;325;4.7;2.6;OK
delegado 83: ;237;2.6;2.6;OK
delegado 84: ;232;2.6;3.6;OK
delegado 85: ;196;3.6;3.6;OK
delegado 86: ;238;3.6;3.6;OK
delegado 87: ;310;3.0;3.0;OK
delegado 88: ;203;3.0;2.8;OK
delegado 89: ;255;2.8;2.8;OK
delegado 90: ;197;2.8;3.8;OK
delegado 91: ;176;3.8;3.8;OK
delegado 92: ;201;3.8;3.8;OK
delegado 93: ;222;3.8;2.8;OK
delegado 94: ;538;2.8;1.3;OK
delegado 95: ;211;1.3;1.3;OK
delegado 96: ;157;1.3;1.3;OK
delegado 97: ;167;1.3;4.0;OK
delegado 98: ;161;4.0;4.0;OK
delegado 99: ;202;4.0;4.0;OK
