Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 1: ;2096;0.0;34.4;OK
delegado 2: ;210;34.4;34.4;OK
delegado 3: ;176;34.4;34.4;OK
delegado 4: ;627;34.4;3.9;OK
delegado 6: ;200;3.9;3.9;OK
delegado 7: ;216;3.9;6.9;OK
delegado 8: ;203;6.9;6.9;OK
delegado 9: ;172;6.9;6.9;OK
delegado 10: ;164;6.9;10.5;OK
delegado 11: ;164;10.5;10.5;OK
delegado 12: ;294;10.5;2.2;OK
delegado 13: ;220;2.2;2.2;OK
delegado 14: ;170;2.2;2.2;OK
delegado 15: ;207;5.3;5.3;OK
delegado 16: ;159;5.3;5.3;OK
delegado 17: ;169;5.3;5.1;OK
delegado 18: ;169;5.1;5.1;OK
delegado 19: ;177;5.1;5.1;OK
delegado 20: ;177;5.1;4.4;OK
delegado 21: ;168;4.4;4.4;OK
delegado 22: ;204;4.4;4.4;OK
delegado 23: ;169;4.4;6.8;OK
delegado 24: ;146;6.8;6.8;OK
delegado 25: ;162;6.8;6.8;OK
delegado 26: ;178;6.8;3.3;OK
delegado 27: ;145;3.3;3.3;OK
delegado 28: ;171;3.3;5.3;OK
delegado 29: ;192;5.3;5.3;OK
delegado 30: ;175;5.3;5.3;OK
delegado 31: ;148;5.3;5.8;OK
delegado 32: ;186;5.8;5.8;OK
delegado 33: ;133;5.8;5.8;OK
delegado 34: ;201;5.8;3.8;OK
delegado 35: ;220;3.8;3.8;OK
delegado 36: ;128;3.8;3.8;OK
delegado 37: ;361;3.8;2.4;OK
delegado 38: ;216;2.4;2.4;OK
delegado 39: ;542;2.4;1.9;OK
delegado 40: ;202;1.9;1.9;OK
delegado 41: ;163;1.9;1.9;OK
delegado 42: ;194;1.9;3.0;OK
delegado 43: ;146;3.0;3.0;OK
delegado 44: ;150;3.0;3.0;OK
delegado 45: ;1028;3.0;1.9;OK
delegado 46: ;151;1.9;1.9;OK
delegado 47: ;151;1.9;1.9;OK
delegado 48: ;199;1.9;4.6;OK
delegado 49: ;160;4.6;4.6;OK
delegado 50: ;176;4.6;4.6;OK
delegado 51: ;167;4.6;5.2;OK
delegado 52: ;138;5.2;5.2;OK
delegado 53: ;171;5.2;5.2;OK
delegado 54: ;166;5.2;7.3;OK
delegado 55: ;164;7.3;7.3;OK
delegado 56: ;169;7.3;7.3;OK
delegado 57: ;190;7.3;5.7;OK
delegado 58: ;121;5.7;5.7;OK
delegado 59: ;138;5.7;5.7;OK
delegado 60: ;129;5.7;5.7;OK
delegado 61: ;148;5.7;4.8;OK
delegado 62: ;159;4.8;4.8;OK
delegado 63: ;196;4.8;4.8;OK
delegado 64: ;142;4.8;6.6;OK
delegado 65: ;142;6.6;6.6;OK
delegado 66: ;145;6.6;6.6;OK
delegado 67: ;195;6.6;4.1;OK
delegado 68: ;160;4.1;4.1;OK
delegado 69: ;179;4.1;4.1;OK
delegado 70: ;145;4.1;5.4;OK
delegado 71: ;145;5.4;5.4;OK
delegado 72: ;143;5.4;5.4;OK
delegado 73: ;173;5.4;2.8;OK
delegado 74: ;170;2.8;2.8;OK
delegado 75: ;163;2.8;2.8;OK
delegado 76: ;145;2.8;4.7;OK
delegado 77: ;162;4.7;4.7;OK
delegado 78: ;197;4.7;4.7;OK
delegado 79: ;149;4.7;5.8;OK
